statedistrict,member-info/namelist,member-info/bioguideID,member-info/lastname,member-info/firstname,member-info/middlename,member-info/sort-name,member-info/suffix,member-info/courtesy,member-info/prior-congress,member-info/official-name,member-info/formal-name,member-info/party,member-info/caucus,member-info/state/state-fullname,member-info/state/_postal-code,member-info/district,member-info/townname,member-info/office-building,member-info/office-room,member-info/office-zip,member-info/office-zip-suffix,member-info/phone,member-info/elected-date/_date,member-info/elected-date/__text,member-info/sworn-date/_date,committee-assignments/committee/0/_rank
AK00,"Young, Don",Y000033,Young,Don,,"YOUNG,DON",,Mr.,114,Don Young,Mr. Young of Alaska,R,R,Alaska,AK,At Large,Fort Yukon,RHOB,2314,20515,200,(202) 225-5765,20161108,"November  8, 2016",,
AL01,"Byrne, Bradley",B001289,Byrne,Bradley,,"BYRNE,BRADLEY",,Mr.,114,Bradley Byrne,Mr. Byrne,R,R,Alabama,AL,1st,Fairhope,CHOB,119,20515,101,(202) 225-4931,20161108,"November  8, 2016",,
AL02,"Roby, Martha",R000591,Roby,Martha,,"ROBY,MARTHA",,Mrs.,114,Martha Roby,Mrs. Roby,R,R,Alabama,AL,2nd,Montgomery,CHOB,442,20515,102,(202) 225-2901,20161108,"November  8, 2016",,
AL03,"Rogers, Mike",R000575,Rogers,Mike,,"ROGERS,MIKE",,Mr.,114,Mike Rogers,Mr. Rogers of Alabama,R,R,Alabama,AL,3rd,Anniston,RHOB,2184,20515,103,(202) 225-3261,20161108,"November  8, 2016",,
AL04,"Aderholt, Robert",A000055,Aderholt,Robert,B.,"ADERHOLT,ROBERT",,Mr.,114,Robert B. Aderholt,Mr. Aderholt,R,R,Alabama,AL,4th,Haleyville,CHOB,235,20515,104,(202) 225-4876,20161108,"November  8, 2016",,
AL05,"Brooks, Mo",B001274,Brooks,Mo,,"BROOKS,MO",,Mr.,114,Mo Brooks,Mr. Brooks of Alabama,R,R,Alabama,AL,5th,Huntsville,RHOB,2400,20515,105,(202) 225-4801,20161108,"November  8, 2016",,
AL06,"Palmer, Gary",P000609,Palmer,Gary,J.,"PALMER,GARY",,Mr.,114,Gary J. Palmer,Mr. Palmer,R,R,Alabama,AL,6th,Hoover,CHOB,330,20515,106,(202) 225-4921,20161108,"November  8, 2016",,
AL07,"Sewell, Terri",S001185,Sewell,Terri,A.,"SEWELL,TERRI",,Ms.,114,Terri A. Sewell,Ms. Sewell of Alabama,D,D,Alabama,AL,7th,Birmingham,RHOB,2201,20515,107,(202) 225-2665,20161108,"November  8, 2016",,
AR01,"Crawford, Eric",C001087,Crawford,Eric,"A. ""Rick""","CRAWFORD,ERIC",,Mr.,114,"Eric A. ""Rick"" Crawford",Mr. Crawford,R,R,Arkansas,AR,1st,Jonesboro,RHOB,2422,20515,401,(202) 225-4076,20161108,"November  8, 2016",,
AR02,"Hill, J.",H001072,Hill,J.,French,"HILL,J.",,Mr.,114,J. French Hill,Mr. Hill,R,R,Arkansas,AR,2nd,Little Rock,LHOB,1229,20515,402,(202) 225-2506,20161108,"November  8, 2016",,
AR03,"Womack, Steve",W000809,Womack,Steve,,"WOMACK,STEVE",,Mr.,114,Steve Womack,Mr. Womack,R,R,Arkansas,AR,3rd,Rogers,RHOB,2412,20515,403,(202) 225-4301,20161108,"November  8, 2016",,
AR04,"Westerman, Bruce",W000821,Westerman,Bruce,,"WESTERMAN,BRUCE",,Mr.,114,Bruce Westerman,Mr. Westerman,R,R,Arkansas,AR,4th,Hot Springs,CHOB,130,20515,404,(202) 225-3772,20161108,"November  8, 2016",,
AS00,"Radewagen, Aumua Amata",R000600,Radewagen,Aumua Amata,Coleman,"RADEWAGEN,AUMUAAMATA",,Mrs.,114,Aumua Amata Coleman Radewagen,Mrs. Radewagen,R,R,American Samoa,AS,Delegate,Pago Pago,LHOB,1339,20515,5200,(202) 225-8577,20161108,"November  8, 2016",,
AZ01,"O'Halleran, Tom",O000171,O'Halleran,Tom,,"OHALLERAN,TOM",,Mr.,0,Tom O'Halleran,Mr. O'Halleran,D,D,Arizona,AZ,1st,Sedona,CHOB,126,20515,301,(202) 225-3361,20161108,"November  8, 2016",,
AZ02,"McSally, Martha",M001197,McSally,Martha,,"MCSALLY,MARTHA",,Ms.,114,Martha McSally,Ms. McSally,R,R,Arizona,AZ,2nd,Tucson,CHOB,510,20515,302,(202) 225-2542,20161108,"November  8, 2016",,
AZ03,"Grijalva, Ra̼l",G000551,Grijalva,Ra̼l,M.,"GRIJALVA,RAUL",,Mr.,114,Ra̼l M. Grijalva,Mr. Grijalva,D,D,Arizona,AZ,3rd,Tucson,LHOB,1511,20515,303,(202) 225-2435,20161108,"November  8, 2016",,
AZ04,"Gosar, Paul",G000565,Gosar,Paul,A.,"GOSAR,PAUL",,Mr.,114,Paul A. Gosar,Mr. Gosar,R,R,Arizona,AZ,4th,Prescott,RHOB,2057,20515,304,(202) 225-2315,20161108,"November  8, 2016",,
AZ05,"Biggs, Andy",B001302,Biggs,Andy,,"BIGGS,ANDY",,Mr.,0,Andy Biggs,Mr. Biggs,R,R,Arizona,AZ,5th,Gilbert,LHOB,1626,20515,305,(202) 225-2635,20161108,"November  8, 2016",,
AZ06,"Schweikert, David",S001183,Schweikert,David,,"SCHWEIKERT,DAVID",,Mr.,114,David Schweikert,Mr. Schweikert,R,R,Arizona,AZ,6th,Fountain Hills,RHOB,2059,20515,306,(202) 225-2190,20161108,"November  8, 2016",,
AZ07,"Gallego, Ruben",G000574,Gallego,Ruben,,"GALLEGO,RUBEN",,Mr.,114,Ruben Gallego,Mr. Gallego,D,D,Arizona,AZ,7th,Phoenix,LHOB,1218,20515,307,(202) 225-4065,20161108,"November  8, 2016",,
AZ08,"Franks, Trent",F000448,Franks,Trent,,"FRANKS,TRENT",,Mr.,114,Trent Franks,Mr. Franks of Arizona,R,R,Arizona,AZ,8th,Peoria,RHOB,2435,20515,308,(202) 225-4576,20161108,"November  8, 2016",,
AZ09,"Sinema, Kyrsten",S001191,Sinema,Kyrsten,,"SINEMA,KYRSTEN",,Ms.,114,Kyrsten Sinema,Ms. Sinema,D,D,Arizona,AZ,9th,Phoenix,LHOB,1725,20515,309,(202) 225-9888,20161108,"November  8, 2016",,
CA01,"LaMalfa, Doug",L000578,LaMalfa,Doug,,"LAMALFA,DOUG",,Mr.,114,Doug LaMalfa,Mr. LaMalfa,R,R,California,CA,1st,Oroville,CHOB,322,20515,501,(202) 225-3076,20161108,"November  8, 2016",,
CA02,"Huffman, Jared",H001068,Huffman,Jared,,"HUFFMAN,JARED",,Mr.,114,Jared Huffman,Mr. Huffman,D,D,California,CA,2nd,San Rafael,LHOB,1406,20515,502,(202) 225-5161,20161108,"November  8, 2016",,
CA03,"Garamendi, John",G000559,Garamendi,John,,"GARAMENDI,JOHN",,Mr.,114,John Garamendi,Mr. Garamendi,D,D,California,CA,3rd,Walnut Grove,RHOB,2438,20515,503,(202) 225-1880,20161108,"November  8, 2016",,
CA04,"McClintock, Tom",M001177,McClintock,Tom,,"MCCLINTOCK,TOM",,Mr.,114,Tom McClintock,Mr. McClintock,R,R,California,CA,4th,Roseville,RHOB,2312,20515,504,(202) 225-2511,20161108,"November  8, 2016",,
CA05,"Thompson, Mike",T000460,Thompson,Mike,,"THOMPSON,MIKE",,Mr.,114,Mike Thompson,Mr. Thompson of California,D,D,California,CA,5th,St. Helena,CHOB,231,20515,505,(202) 225-3311,20161108,"November  8, 2016",,
CA06,"Matsui, Doris",M001163,Matsui,Doris,O.,"MATSUI,DORIS",,Ms.,114,Doris O. Matsui,Ms. Matsui,D,D,California,CA,6th,Sacramento,RHOB,2311,20515,506,(202) 225-7163,20161108,"November  8, 2016",,
CA07,"Bera, Ami",B001287,Bera,Ami,,"BERA,AMI",,Mr.,114,Ami Bera,Mr. Bera,D,D,California,CA,7th,Elk Grove,LHOB,1431,20515,507,(202) 225-5716,20161108,"November  8, 2016",,
CA08,"Cook, Paul",C001094,Cook,Paul,,"COOK,PAUL",,Mr.,114,Paul Cook,Mr. Cook,R,R,California,CA,8th,Yucca Valley,LHOB,1222,20515,508,(202) 225-5861,20161108,"November  8, 2016",,
CA09,"McNerney, Jerry",M001166,McNerney,Jerry,,"MCNERNEY,JERRY",,Mr.,114,Jerry McNerney,Mr. McNerney,D,D,California,CA,9th,Stockton,RHOB,2265,20515,509,(202) 225-1947,20161108,"November  8, 2016",,
CA10,"Denham, Jeff",D000612,Denham,Jeff,,"DENHAM,JEFF",,Mr.,114,Jeff Denham,Mr. Denham,R,R,California,CA,10th,Turlock,LHOB,1730,20515,510,(202) 225-4540,20161108,"November  8, 2016",,
CA11,"DeSaulnier, Mark",D000623,DeSaulnier,Mark,,"DESAULNIER,MARK",,Mr.,114,Mark DeSaulnier,Mr. DeSaulnier,D,D,California,CA,11th,Concord,CHOB,115,20515,511,(202) 225-2095,20161108,"November  8, 2016",,
CA12,"Pelosi, Nancy",P000197,Pelosi,Nancy,,"PELOSI,NANCY",,Ms.,114,Nancy Pelosi,Ms. Pelosi,D,D,California,CA,12th,San Francisco,CHOB,233,20515,512,(202) 225-4965,20161108,"November  8, 2016",,
CA13,"Lee, Barbara",L000551,Lee,Barbara,,"LEE,BARBARA",,Ms.,114,Barbara Lee,Ms. Lee,D,D,California,CA,13th,Oakland,RHOB,2267,20515,513,(202) 225-2661,20161108,"November  8, 2016",,
