STATE ABBREVIATION,STATE,D,FEC ID#,CANDIDATE NAME (First),CANDIDATE NAME (Last),TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
AL,Alabama,1,H4AL01123,Bradley,Byrne,,R,Unopposed,103758
AL,Alabama,1,H4AL01156,Burton R.,LeFlore,,D,Unopposed,48278
AL,Alabama,1,n/a,,,,W,,198
AL,Alabama,1,n/a,,,District Votes:,,,152234
AL,Alabama,,n/a,,,,,,
AL,Alabama,2,H0AL02087,Martha,Roby,,R,Unopposed,113103
AL,Alabama,2,H4AL02071,Erick,Wright,,D,Unopposed,54692
AL,Alabama,2,n/a,,,,W,,157
AL,Alabama,2,n/a,,,District Votes:,,,167952
AL,Alabama,,n/a,,,,,,
AL,Alabama,3,H2AL03032,Mike,Rogers,,R,50372,103558
AL,Alabama,3,H4AL03053,Thomas,Casson,,R,15999,
AL,Alabama,3,n/a,,,Party Votes:,R,66371,
AL,Alabama,3,H4AL03061,Jesse T.,Smith,,D,Unopposed,52816
AL,Alabama,3,n/a,,,,W,,246
AL,Alabama,3,n/a,,,District Votes:,,66371,156620
AL,Alabama,,n/a,,,,,,
AL,Alabama,4,H6AL04098,Robert,Aderholt,,R,Unopposed,132831
AL,Alabama,4,n/a,,,,W,,1921
AL,Alabama,4,n/a,,,District Votes:,,,134752
AL,Alabama,,n/a,,,,,,
AL,Alabama,5,H0AL05163,Mo,Brooks,,R,49117,115338
AL,Alabama,5,H4AL05074,Jerry,Hill,,R,12038,
AL,Alabama,5,n/a,,,Party Votes:,R,61155,
AL,Alabama,5,H4AL05082,Mark,Bray,,IND,,39005
AL,Alabama,5,n/a,,,,W,,631
AL,Alabama,5,n/a,,,District Votes:,,61155,154974
AL,Alabama,,n/a,,,,,,
AL,Alabama,6,H4AL06098,Gary,Palmer,,R,18655,135945
AL,Alabama,6,H4AL06080,Paul,DeMarco,,R,30894,
AL,Alabama,6,H2AL06126,Scott,Beason,,R,14451,
AL,Alabama,6,H4AL06072,Chad,Mathis,,R,14420,
AL,Alabama,6,H4AL06106,Will,Brooke,,R,13130,
AL,Alabama,6,H4AL06114,Tom,Vigneulle,,R,2397,
AL,Alabama,6,H4AL06122,Robert,Shattuck,,R,587,
AL,Alabama,6,n/a,,,Party Votes:,R,94534,
AL,Alabama,6,H4AL06148,Mark,Lester,,D,#,42291
AL,Alabama,6,H4AL06130,Avery,Vise,,D,Unopposed,
AL,Alabama,6,n/a,,,,W,,213
AL,Alabama,6,n/a,,,District Votes:,,94534,178449
AL,Alabama,,n/a,,,,,,
AL,Alabama,7,H0AL07086,Terri A.,Sewell,,D,74953,133687
AL,Alabama,7,H4AL07096,Tamara Harris,Johnson,,D,14374,
AL,Alabama,7,n/a,,,Party Votes:,D,89327,
AL,Alabama,7,n/a,,,,W,,2212
AL,Alabama,7,n/a,,,District Votes:,,89327,135899
AL,Alabama,,n/a,,,,,,
AL,Alabama,H,n/a,,,Total State Votes:,,311387,1080880
AL,Alabama,,n/a,,,,,,
,,,n/a,,,,,,
AK,Alaska,0,H6AK00045,Don,Young,,R,79393,142572
AK,Alaska,0,H0AK00097,John R.,Cox,,R,14497,
AK,Alaska,0,H4AK00149,David  ,Seaward,,R,7604,
AK,Alaska,0,H4AK00131,David F. "Dave",Dohner,,R,5373,
AK,Alaska,0,n/a,,,Party Votes:,R,106867,
AK,Alaska,0,H4AK00123,Forrest ,Dunbar,,D,38735,114602
AK,Alaska,0,H4AK00057,Frank J.,Vondersaar,,D,9132,
AK,Alaska,0,n/a,,,Party Votes:,D,47867,
AK,Alaska,0,H2AK00143,Jim C.,McDermott,,LIB,13437,21290
AK,Alaska,0,n/a,,,Party Votes:,LIB,13437,
AK,Alaska,0,n/a,,,,W,,1277
AK,Alaska,0,n/a,,,District Votes:,,168171,279741
AK,Alaska,H,n/a,,,Total State Votes:,,168171,279741
AK,Alaska,,n/a,,,,,,
AK,Alaska,,n/a,,,,,,
,,,n/a,,,,,,
AZ,Arizona,1,H8AZ01104 ,Ann,Kirkpatrick,,D,51393,97391
AZ,Arizona,1,n/a,,,Party Votes:,D,51393,
AZ,Arizona,1,H0AZ01325 ,Andy,Tobin,,R,18814,87723
AZ,Arizona,1,H4AZ01145 ,Gary,Kiehne,,R,18407,
AZ,Arizona,1,H4AZ01152 ,Adam,Kwasman,,R,15266,
AZ,Arizona,1,n/a,,,Party Votes:,R,52487,
AZ,Arizona,1,n/a,,,District Votes:,,103880,185114
AZ,Arizona,2,H2AZ08102 ,Martha ,McSally,,R,45492,109714
AZ,Arizona,2,H4AZ02143 ,Chuck,Wooten,,R,14995,
AZ,Arizona,2,H4AZ02135 ,Shelley,Kais,,R,5103,
AZ,Arizona,2,n/a,,,Party Votes:,R,65590,
AZ,Arizona,2,H2AZ08094,Ron,Barber,,D,49039,109547
AZ,Arizona,2,n/a,,,Party Votes:,D,49039,
AZ,Arizona,2,H4AZ02150,Sampson U.,Ramirez,,W,,56
AZ,Arizona,2,H4AZ02168,Sydney,Dudikoff,,W,,48
AZ,Arizona,2,n/a,,,District Votes:,,114629,219365
AZ,Arizona,3,H2AZ07070 ,Raul ,Grijalva,,D,28758,58192
AZ,Arizona,3,n/a,,,Party Votes:,D,28758,
AZ,Arizona,3,H2AZ07146,Gabby,Saucedo Mercer,,R,18823,46185
AZ,Arizona,3,n/a,,,Party Votes:,R,18823,
AZ,Arizona,3,H4AZ03075,F.,Sánchez,,W,,43
AZ,Arizona,3,H4AZ03083 ,Lee,Thompson,,W,,8
AZ,Arizona,3,n/a,,,District Votes:,,47581,104428
AZ,Arizona,,n/a,,,,,,
AZ,Arizona,4,H0AZ01259 ,Paul,Gosar,,R,65354,122560
AZ,Arizona,4,n/a,,,Party Votes:,R,65354,
AZ,Arizona,4,H2AZ04143,Mike,Weisser,,D,19643,45179
AZ,Arizona,4,n/a,,,Party Votes:,D,19643,
AZ,Arizona,4,H4AZ04099,Chris,Rike,,W(LIB)/LIB,29,7440
AZ,Arizona,4,n/a,,,Party Votes:,LIB,29,
AZ,Arizona,4,n/a,,,District Votes:,,85026,175179
AZ,Arizona,5,H4AZ01038 ,Matt,Salmon,,R,71690,124867
AZ,Arizona,5,n/a,,,Party Votes:,R,71690,
AZ,Arizona,5,H4AZ05088,James,Woods,,D,20249,54596
AZ,Arizona,5,n/a,,,Party Votes:,D,20249,
AZ,Arizona,5,n/a,,,District Votes:,,91939,179463
AZ,Arizona,6,H4AZ06045,David ,Schweikert,,R,69902,129578
AZ,Arizona,6,n/a,,,Party Votes:,R,69902,
AZ,Arizona,6,H2AZ05132,W. John,Williamson,,D,25306,70198
AZ,Arizona,6,n/a,,,Party Votes:,D,25306,
AZ,Arizona,6,n/a,,,District Votes:,,95208,199776
AZ,Arizona,7,H4AZ07043 ,Ruben,Gallego,,D,14936,54235
AZ,Arizona,7,H4AZ07068,Mary Rose,Wilcox,,D,11077,
AZ,Arizona,7,H2AZ02220 ,Randy ,Camacho,,D,2330,
AZ,Arizona,7,H4AZ07076,Jarrett,Maupin,,D,2199,
AZ,Arizona,7,n/a,,,Party Votes:,D,30542,
AZ,Arizona,7,H6AZ07022,Joe,Cobb,,LIB,300,10715
AZ,Arizona,7,n/a,,,Party Votes:,LIB,300,
AZ,Arizona,7,H8AZ04116,Rebecca,DeWitt,,W(AE)/AE,4,3858
